log_no_quest_id, gid, cid, log_ts, aid, a_detail, uid, vid, sessionid, session_seqid, client_ts, multiplayer_uid, multiplayer_seqid
913, 202207, 2, 1653340872, 5, NULL, 321CDC91-E981-D96B-C81E-9980CD9C877F, 1, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 1, 1653340872607, NULL, 0
914, 202207, 2, 1653340874, 2, NULL, 321CDC91-E981-D96B-C81E-9980CD9C877F, 1, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 3, 1653340873901, NULL, 0
915, 202207, 2, 1653340887, 5, NULL, 321CDC91-E981-D96B-C81E-9980CD9C877F, 1, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 5, 1653340886844, NULL, 0
916, 202207, 2, 1653340887, 3, NULL, 321CDC91-E981-D96B-C81E-9980CD9C877F, 1, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 7, 1653340887492, NULL, 0
917, 202207, 2, 1653340891, 5, NULL, 321CDC91-E981-D96B-C81E-9980CD9C877F, 1, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 9, 1653340891428, NULL, 0
918, 202207, 2, 1653340893, 3, NULL, 321CDC91-E981-D96B-C81E-9980CD9C877F, 1, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 11, 1653340892813, NULL, 0
919, 202207, 2, 1653341014, 5, NULL, 321CDC91-E981-D96B-C81E-9980CD9C877F, 1, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 120, 1653341014197, NULL, 0
920, 202207, 2, 1653341015, 2, NULL, 321CDC91-E981-D96B-C81E-9980CD9C877F, 1, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 122, 1653341015164, NULL, 0
921, 202207, 2, 1653341511, 5, NULL, 670B5C08-8B5D-48E3-BEAC-892F6C0CC8B0, 1, 0A472081-126A-0282-83B4-BEB4C07B9D28, 1, 1653341511771, NULL, 0
922, 202207, 2, 1653341513, 3, NULL, 670B5C08-8B5D-48E3-BEAC-892F6C0CC8B0, 1, 0A472081-126A-0282-83B4-BEB4C07B9D28, 3, 1653341513323, NULL, 0
923, 202207, 2, 1653342508, 5, NULL, 321CDC91-E981-D96B-C81E-9980CD9C877F, 1, BF5D80B5-9E87-F70D-2313-F7635A7A12A7, 84, 1653342508217, NULL, 0
924, 202207, 2, 1653342509, 2, NULL, 321CDC91-E981-D96B-C81E-9980CD9C877F, 1, BF5D80B5-9E87-F70D-2313-F7635A7A12A7, 86, 1653342509242, NULL, 0
925, 202207, 2, 1653342537, 5, NULL, 321CDC91-E981-D96B-C81E-9980CD9C877F, 1, BF5D80B5-9E87-F70D-2313-F7635A7A12A7, 88, 1653342537101, NULL, 0
926, 202207, 2, 1653342538, 3, NULL, 321CDC91-E981-D96B-C81E-9980CD9C877F, 1, BF5D80B5-9E87-F70D-2313-F7635A7A12A7, 90, 1653342538194, NULL, 0
927, 202207, 2, 1653343105, 5, NULL, 4CC83D75-13A5-469A-FD39-EC84533A10BE, 1, 14740B6B-27F4-4845-AB9A-11932F3A09E2, 197, 1653343103855, NULL, 0
928, 202207, 2, 1653343106, 2, NULL, 4CC83D75-13A5-469A-FD39-EC84533A10BE, 1, 14740B6B-27F4-4845-AB9A-11932F3A09E2, 199, 1653343104932, NULL, 0
929, 202207, 2, 1653343322, 2, NULL, 4CC83D75-13A5-469A-FD39-EC84533A10BE, 1, 14740B6B-27F4-4845-AB9A-11932F3A09E2, 203, 1653343321207, NULL, 0
930, 202207, 2, 1653343804, 5, NULL, 4CC83D75-13A5-469A-FD39-EC84533A10BE, 1, 14740B6B-27F4-4845-AB9A-11932F3A09E2, 352, 1653343802331, NULL, 0
931, 202207, 2, 1653343804, 3, NULL, 4CC83D75-13A5-469A-FD39-EC84533A10BE, 1, 14740B6B-27F4-4845-AB9A-11932F3A09E2, 354, 1653343803388, NULL, 0
934, 202207, 2, 1653344726, 5, NULL, 8EC070F8-3E54-E2D9-7216-6BEE333BBDD2, 1, A341A352-20EE-D5E4-73FF-0A88B4AA7CAF, 1, 1653344726388, NULL, 0
935, 202207, 2, 1653344727, 2, NULL, 8EC070F8-3E54-E2D9-7216-6BEE333BBDD2, 1, A341A352-20EE-D5E4-73FF-0A88B4AA7CAF, 3, 1653344727401, NULL, 0
936, 202207, 2, 1653344910, 5, NULL, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 1, 8EBFF18D-BE10-3715-A56B-170F18828207, 284, 1653344909391, NULL, 0
937, 202207, 2, 1653344911, 3, NULL, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 1, 8EBFF18D-BE10-3715-A56B-170F18828207, 286, 1653344910816, NULL, 0
938, 202207, 2, 1653344914, 5, NULL, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 1, 8EBFF18D-BE10-3715-A56B-170F18828207, 288, 1653344913621, NULL, 0
939, 202207, 2, 1653344916, 2, NULL, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 1, 8EBFF18D-BE10-3715-A56B-170F18828207, 290, 1653344915537, NULL, 0
940, 202207, 2, 1653344922, 5, NULL, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 1, 8EBFF18D-BE10-3715-A56B-170F18828207, 293, 1653344921921, NULL, 0
941, 202207, 2, 1653344923, 3, NULL, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 1, 8EBFF18D-BE10-3715-A56B-170F18828207, 295, 1653344922851, NULL, 0
942, 202207, 2, 1653345137, 5, NULL, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 1, 8EBFF18D-BE10-3715-A56B-170F18828207, 420, 1653345136975, NULL, 0
943, 202207, 2, 1653345138, 2, NULL, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 1, 8EBFF18D-BE10-3715-A56B-170F18828207, 422, 1653345137921, NULL, 0
944, 202207, 2, 1653345144, 5, NULL, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 1, 8EBFF18D-BE10-3715-A56B-170F18828207, 425, 1653345144026, NULL, 0
945, 202207, 2, 1653345145, 3, NULL, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 1, 8EBFF18D-BE10-3715-A56B-170F18828207, 427, 1653345144952, NULL, 0
946, 202207, 2, 1653345148, 4, NULL, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 1, 8EBFF18D-BE10-3715-A56B-170F18828207, 428, 1653345147361, NULL, 0
953, 202207, 2, 1653346824, 5, NULL, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 1, 3010BED0-0C84-0208-F4F8-853EC6146CDE, 68, 1653346823961, NULL, 0
954, 202207, 2, 1653346824, 2, NULL, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 1, 3010BED0-0C84-0208-F4F8-853EC6146CDE, 70, 1653346824740, NULL, 0
955, 202207, 2, 1653347299, 5, NULL, 89DB02E5-9D2B-447F-0843-C443314BC8A7, 1, 355845FE-A96D-7FD9-B835-F29EBD5B1A59, 1, 1653347299184, NULL, 0
956, 202207, 2, 1653347300, 2, NULL, 89DB02E5-9D2B-447F-0843-C443314BC8A7, 1, 355845FE-A96D-7FD9-B835-F29EBD5B1A59, 3, 1653347300530, NULL, 0
957, 202207, 2, 1653347518, 2, NULL, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 1, 9126AD1B-971C-C3AF-4E2C-F1C3DEA4EBD4, 271, 1653347518262, NULL, 0
958, 202207, 2, 1653347521, 5, NULL, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 1, 9126AD1B-971C-C3AF-4E2C-F1C3DEA4EBD4, 275, 1653347520811, NULL, 0
959, 202207, 2, 1653347575, 5, NULL, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 1, 9126AD1B-971C-C3AF-4E2C-F1C3DEA4EBD4, 332, 1653347575561, NULL, 0
960, 202207, 2, 1653347576, 3, NULL, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 1, 9126AD1B-971C-C3AF-4E2C-F1C3DEA4EBD4, 334, 1653347576505, NULL, 0
961, 202207, 2, 1653347760, 5, NULL, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 1, 9126AD1B-971C-C3AF-4E2C-F1C3DEA4EBD4, 451, 1653347760134, NULL, 0
962, 202207, 2, 1653347846, 5, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 238, 1653347845289, NULL, 0
963, 202207, 2, 1653347847, 3, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 240, 1653347846976, NULL, 0
964, 202207, 2, 1653347854, 5, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 242, 1653347853675, NULL, 0
965, 202207, 2, 1653347856, 3, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 244, 1653347855178, NULL, 0
966, 202207, 2, 1653348453, 5, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 390, 1653348452669, NULL, 0
967, 202207, 2, 1653348455, 2, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 392, 1653348454258, NULL, 0
968, 202207, 2, 1653348459, 5, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 395, 1653348458829, NULL, 0
969, 202207, 2, 1653348460, 3, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 397, 1653348459874, NULL, 0
970, 202207, 2, 1653348520, 5, NULL, FB619723-DD6A-6CFE-12B6-4ACDEFEB1EA4, 1, AE251F0E-A086-5C1B-8F43-AF899B11CE27, 1, 1653348519672, NULL, 0
971, 202207, 2, 1653348523, 3, NULL, FB619723-DD6A-6CFE-12B6-4ACDEFEB1EA4, 1, AE251F0E-A086-5C1B-8F43-AF899B11CE27, 3, 1653348523243, NULL, 0
972, 202207, 2, 1653348739, 5, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 501, 1653348738757, NULL, 0
973, 202207, 2, 1653348741, 2, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 503, 1653348740553, NULL, 0
974, 202207, 2, 1653348745, 5, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 505, 1653348744080, NULL, 0
975, 202207, 2, 1653348745, 3, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 507, 1653348744993, NULL, 0
976, 202207, 2, 1653348973, 5, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 604, 1653348972641, NULL, 0
977, 202207, 2, 1653348974, 3, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 606, 1653348973926, NULL, 0
978, 202207, 2, 1653348981, 5, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 608, 1653348980134, NULL, 0
979, 202207, 2, 1653348982, 2, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 610, 1653348981294, NULL, 0
980, 202207, 2, 1653349211, 5, NULL, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 1, 8659AB06-67B8-A02C-A11C-6B26441CE68C, 304, 1653349211266, NULL, 0
981, 202207, 2, 1653350624, 5, NULL, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 1, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 1, 1653350623470, NULL, 0
982, 202207, 2, 1653350627, 3, NULL, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 1, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 3, 1653350626972, NULL, 0
983, 202207, 2, 1653350718, 5, NULL, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 1, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 107, 1653350717551, NULL, 0
984, 202207, 2, 1653350720, 3, NULL, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 1, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 109, 1653350719279, NULL, 0
985, 202207, 2, 1653350727, 5, NULL, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 1, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 111, 1653350727174, NULL, 0
986, 202207, 2, 1653350729, 2, NULL, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 1, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 113, 1653350728549, NULL, 0
987, 202207, 2, 1653350900, 5, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 612, 1653350899492, NULL, 0
988, 202207, 2, 1653350903, 3, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 614, 1653350902133, NULL, 0
989, 202207, 2, 1653351534, 5, NULL, B946F118-ED3A-6369-5D11-6F69F0AFD2DC, 1, B0D3B482-6C1B-D51F-24AE-9DE7E94CEA7B, 1, 1653351533591, NULL, 0
990, 202207, 2, 1653351535, 2, NULL, B946F118-ED3A-6369-5D11-6F69F0AFD2DC, 1, B0D3B482-6C1B-D51F-24AE-9DE7E94CEA7B, 3, 1653351534300, NULL, 0
991, 202207, 2, 1653351539, 5, NULL, B946F118-ED3A-6369-5D11-6F69F0AFD2DC, 1, B0D3B482-6C1B-D51F-24AE-9DE7E94CEA7B, 5, 1653351538560, NULL, 0
992, 202207, 2, 1653351540, 3, NULL, B946F118-ED3A-6369-5D11-6F69F0AFD2DC, 1, B0D3B482-6C1B-D51F-24AE-9DE7E94CEA7B, 7, 1653351539230, NULL, 0
993, 202207, 2, 1653351730, 5, NULL, E0E40695-B927-7E6C-453F-BED0BD053637, 1, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 659, 1653351729122, NULL, 0
994, 202207, 2, 1653351883, 5, NULL, 9429EF04-5580-8569-64F7-586CDE4332BE, 1, 756227CE-0F87-202A-EA4B-40CC07E69D50, 217, 1653351882965, NULL, 0
995, 202207, 2, 1653351885, 2, NULL, 9429EF04-5580-8569-64F7-586CDE4332BE, 1, 756227CE-0F87-202A-EA4B-40CC07E69D50, 219, 1653351885255, NULL, 0
996, 202207, 2, 1653352915, 5, NULL, F0AEE323-4D70-580E-0F55-CFF300D257F7, 1, E1950481-CED7-A7D5-FE22-D11C82793A02, 225, 1653352911152, NULL, 0
997, 202207, 2, 1653352916, 2, NULL, F0AEE323-4D70-580E-0F55-CFF300D257F7, 1, E1950481-CED7-A7D5-FE22-D11C82793A02, 227, 1653352912820, NULL, 0
998, 202207, 2, 1653352929, 5, NULL, F0AEE323-4D70-580E-0F55-CFF300D257F7, 1, E1950481-CED7-A7D5-FE22-D11C82793A02, 230, 1653352925631, NULL, 0
999, 202207, 2, 1653352929, 3, NULL, F0AEE323-4D70-580E-0F55-CFF300D257F7, 1, E1950481-CED7-A7D5-FE22-D11C82793A02, 232, 1653352926657, NULL, 0
1000, 202207, 2, 1653353282, 5, NULL, F0AEE323-4D70-580E-0F55-CFF300D257F7, 1, E1950481-CED7-A7D5-FE22-D11C82793A02, 482, 1653353279580, NULL, 0
1001, 202207, 2, 1653353284, 3, NULL, F0AEE323-4D70-580E-0F55-CFF300D257F7, 1, E1950481-CED7-A7D5-FE22-D11C82793A02, 484, 1653353281203, NULL, 0
1075, 202207, 2, 1653537141, 5, NULL, E67BBEED-149C-8307-6904-B59FAEB44E4F, 1, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 323, 1653537141093, NULL, 0
1076, 202207, 2, 1653537142, 3, NULL, E67BBEED-149C-8307-6904-B59FAEB44E4F, 1, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 325, 1653537142597, NULL, 0
1077, 202207, 2, 1653537186, 5, NULL, E67BBEED-149C-8307-6904-B59FAEB44E4F, 1, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 397, 1653537186341, NULL, 0
1078, 202207, 2, 1653537187, 3, NULL, E67BBEED-149C-8307-6904-B59FAEB44E4F, 1, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 399, 1653537187157, NULL, 0
1079, 202207, 2, 1653537327, 5, NULL, E67BBEED-149C-8307-6904-B59FAEB44E4F, 1, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 553, 1653537327142, NULL, 0
1080, 202207, 2, 1653537328, 3, NULL, E67BBEED-149C-8307-6904-B59FAEB44E4F, 1, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 555, 1653537327902, NULL, 0
